CODE PRODUIT;DESIGNATION
3400934744198;KARDEGIC 75MG PDR SACH 30
3400949605538;IZALGI 500MG/25MG GELU BT16
3400932005093;DIPROSTENE INJ SERING1ML 1
3662042005664;THEALOSE SOL OPHT FL 15ML T
3400933247379;KARDEGIC 160MG PDR SACH 30
3400935154958;LAMALINE GELU BT16
3400930986080;SPASFON CPR BT30
3400930292914;MOUNJARO 5MG INJ STYLO KWIKPEN 1
3400922385624;HELICIDINE 10% S/S SIR FP250ML
3400932905997;DIFFU-K 600MG GELU BT40
3400930292907;MOUNJARO 2,5MG INJ STYLO KWIKPEN 1
3400934438738;VENTOLINE 100MCG INH FL200DOS 1
4028694001468;VISMED MULTI GTT LUBR FL15ML T
3401040669580;HYLO CONFORT+COLLY HYD F10ML T
3400932162901;SKIACOL 0,5% COLLY FL0,5ML
3400930056202;GARDASIL 9 INJ SRG0,5ML 1+2AIG
3400931384144;STERDEX POM OPHT UNIDOS 12
3400931307372;NORMACOL LAVEMENT AD. D.130ML
3400935528988;IBUFETUM 5% GEL TB60G
3400926863036;BEXSERO INJ SRG0,5ML 1 +AIG
3400932676729;ANTADYS 100MG CPR BT15
3400930348444;EDUCTYL AD. SUP EFFV BT12
3400931863014;SPASFON LYOC 80MG LYOT ORAL 10
3400930192757;SLINDA 4MG CPR PELLIC BT28X3
3400933095253;GAVISCON BUV SUSP SACH10ML 24
3400931710509;VIT B12 DEL.1000MCG INJ A.2ML 6
3400935358363;ZYMAD 10000UI/ML BUV GTT 10ML
3400934796708;DACUDOSES OPHT UNIDOS10ML 24
3400932340170;FLUVERMAL CPR BT6
3400930141861;SHINGRIX INJ FL+FL 1
3400930065556;LEVOTHYROX 25MCG CPR BT30 EXC
3400930303122;EYLEA 114,3MG/ML INJ SRG 1
3400930065785;LEVOTHYROX 75MCG CPR BT30 EXC
3400936251373;SPIFEN 400MG CPR BT20
3400930028582;REPATHA 140MG INJ STYLO1ML 1
3400937784214;FLECTOR 1% GEL FL100G
3401060060718;OPTIVE  FUSION COLLYRE FL 10 ML
3400926738266;MONOPROST 50MCG/ML COLLY DOS30
3400934615467;DOLIPRANE 2,4% BUV FV100ML 1
3400922257204;ELUDRILPERIO BAIN BCHE FL200ML
3400930065662;LEVOTHYROX 50MCG CPR BT30 EXC
3400933254063;METEOSPASMYL CAPS BT20
3400930065891;LEVOTHYROX 100MCG CPR BT30 EXC
3664490000086;NEOVIS TOT MULTI GTT FL15ML T
3400932440795;FLUVERMAL 2% BUV FL30ML
4028694001413;VISMED GEL MULTI GTT LUBR FL15ML (NEW)
3400930292938;MOUNJARO 7,5MG INJ STYLO KWIKPEN 1
3400931927501;STAGID 700MG CPR BT30
3400935356062;DERINOX SOL NAS FL15ML +POMP
3400930244371;VAXNEUVANCE
3400932935345;CLARADOL 500MG CAFEINE CPR 16
3400934646683;INDOCOLLYRE 0,1% COLLY DOS 20
3400930669334;METEOXANE GELU BT60
3400936873742;REPEVAX INJ SRG 1 S/A+1
3400938203820;AZYTER COLLY UNIDOS 6
3400933518004;TARDYFERON 80MG CPR BT30
3400922253930;NIMENRIX INJ FL+SRG 1 A/2AIG
3400930003763;TRULICITY 1,5MG INJ STY0,5ML 4
3400930151105;OZEMPIC 1MG INJ STYLO3ML 1
3400930121405;LEVOTHYROX 75MCG CPR BT90 EXC
3400932189694;LOCOID 0,1% CR TB30G
3400935955838;DOLIPRANE 1000MG CPR BT8
3400931136385;VIT B12 GERDA 1000MCG AMP4ML 6
3400931893639;ASPEGIC BB. 100MG BUV SACH 20
3400930258620;WEGOVY 0,25MG FLEX INJ STYLO SC 1
3400931922537;PANOTILE GTT AURIC FL8ML
3400930065686;LEVOTHYROX 50MCG CPR BT90 EXC
3400930230008;ASPIRINE PROTECT 100MG CPR 30
3400932331536;DOLIPRANE 500MG PDR SACH 12
3400931742845;LEXOMIL 6MG CPR TB30
3614790000712;ELIXYA SOL OPHT HYD FL 10ML T
3400930066010;LEVOTHYROX 125MCG CPR BT30 EXC
3400937071253;RHINOMAXIL 100MCG NAS PULV120D.
3400931585756;TRIDESONIT 0,05% CR TB30G
3400930418673;FUNGIZONE 10% BUV FL40ML
3400941533969;DOLIPRANE 1000MG GELU BT8
3400936246980;DOLIPRANE 1000MG BUV SACH 8
3400930264546;COUMADINE 2MG CPR BT20
3400930258668;WEGOVY 2,4MG FLEX INJ STYLO SC 1
3400941686245;SPASFON LYOC 160MG LYOT ORAL 5
3400930258644;WEGOVY 1MG FLEX INJ STYLO SC 1
3400935137340;PRIORIX INJ FL+SRG 1 +2AIG
3400933913083;ESTREVA GEL FL-DOS 50G
3400937477680;DEXAFREE 1MG/ML COLLY DOS 30
3400932790661;OTIPAX SOL INSTIL AUR FV16G+CG
3400930216453;TRULICITY 3MG INJ STY0,5ML 4
3400930292945;MOUNJARO 10MG INJ STYLO KWIKPEN 1
3400931358589;PYOSTACINE 500MG CPR BT16
3400932645503;TOCO 500MG CAPS MOL BT30
3400930234976;UVEDOSE 50000UI CAPS MOL BT2
3400934999451;DOLIPRANE 300MG PDR SACH 12
3400931052838;THERALENE 5MG CPR PELLIC BT50
3400931187943;FEROGRAD VIT C 500 CPR BT30
3400930065570;LEVOTHYROX 25MCG CPR BT90 EXC
3400932285778;STRESAM GELU BT60
3401040669122;HYLO CONFORT COLLY HYD F10ML T
3400930084564;ATURGYL 0,05% NAS FL15ML
3400922179049;OPTILOVA 20MCG/100MCG CPR 28X3
3400930204887;KLIPAL 600MG/50MG CPR BT12
3400930216484;TRULICITY 4,5MG INJ STY0,5ML 4
3400935706140;TIMOFEROL GELU BT30
3400930260241;WEGOVY 1,7MG FLEX INJ STYLO SC 1
3400935294227;DOLIPRANE 1000MG CPR EFFV TB8
3400931898191;ASPEGIC AD. 1000MG BUV SACH 20
3400931927679;STAGID 700MG CPR BT100
3400933484132;PREVISCAN 20MG CPR BT30
3400934223976;XYLOCAINE 10MG/ML S/C FL20ML 1
3400927350078;HEXYON INJ SRG0,5ML 1 + 1AIG
3400934809408;DOLIPRANE 150MG SUP BT10
3400932308293;DIPROSONE 0,05% POM TB30G
3400934464171;PAROEX 0,12% BAIN BCHE F300ML
3400936441460;PLAQUENIL 200MG CPR PEL BT30
3400931533429;POLYDEXA SOL AURIC FL10,5ML
3400926692100;MELAXOSE PATE ORAL POT P150G+C
3400934125942;GYDRELLE 0,1% CR VAG TB30G
3400930016671;TOUJEO 300U SOLOSTAR STY1,5ML3
3401554372105;SYSTANE BAL GTT OCUL LUB10ML T
3400931053088;THERALENE 4% BUV GTT FL30ML
3400931405009;LEPTICUR 10MG CPR BT30
3400927886768;XIGDUO 5MG/1000MG CPR BT60
3400934195389;INDOCOLLYRE 0,1% COLLY FL5ML
3400930195291;BAQSIMI 3MG PDR NAS UNIDOS  1
3400934035890;ARTELAC 1,6MG/0,5ML CY DOS 60
3400926784102;ELIQUIS 5MG CPR BT60
3400930234983;UVEDOSE 50000UI CAPS MOL BT4
3400930262313;VITABACT 0,05% CY FL GTT10ML 1
3400930053287;ANTIBIO-SYNALAR AURIC SOL 10ML
3400934912405;MONAZOL 2% CR TB15G
3400930121429;LEVOTHYROX 100MCG CPR BT90 EXC
3400933384616;FLECTOR 1% GEL TB60G - NSFP
3400930157930;LEVOTHYROX 88MCG CPR BT30
3400932192946;DUPHASTON 10MG CPR BT10
3400932320189;DOLIPRANE 500MG CPR BT16
3400930037911;ENTRESTO 49MG/51MG CPR BT56
3400934423079;ADRIGYL 10000UI/ML GTT FL10ML
3400931623298;COLPOTROPHINE CAPS VAG BT20
3400930037904;ENTRESTO 24MG/26MG CPR BT28
4028694001499;HYLOVIS MULTI GTT FL15ML 1
3400926857981;TRESIBA 200U/ML INJ STYL.3ML 3
3400930247853;PREVENAR 20 INJ SRG0,5ML+AIG 1
3400936773875;BOOSTRIXTETRA INJ SRG0,5ML+A 1
3400937722988;LANTUS 100U/ML INJ SOLO3ML 5
3400934507786;DOLIPRANE 500MG GELU BT16
3400930158494;COSTEC 20+5MG/ML COLLY FL10ML1
3400932955107;LOXEN LP 50MG GELU BT60
3400934809866;DOLIPRANE 200MG SUP BT10
3400930037928;ENTRESTO 97MG/103MG CPR BT56
3400930311165;COLCHICINE MYS 1MG CPR BT30
3664478000015;HYLO LIPID COLLYRE FL3ML1
3400930573020;LAROXYL 25MG CPR BT60
3400930066188;LEVOTHYROX 150MCG CPR BT30 EXC
3400932070268;FLAMMAZINE CR TB50G
3400930158043;LEVOTHYROX 112MCG CPR BT30
3400936416628;SEPTIVON 1,5% CUTA FL250ML
3400937689021;LACRIFLUID 0,13% CY UNIDOS 60
3400930396988;FERROSTRANE ENF/AD SIR F125ML1
3400930271216;DIPROSALIC LOT FL30ML
3400930252512;NEFOPAM PANP 30MG CPR PEL BT30
3400931136446;VIT B12 GERDA 250MCG CPR FL24
3400927619960;RELVAR ELLIPTA 92/22MCG 30DOSX1
3400930108611;BETADINE SCRUB SOL FP125ML
3400934809118;DOLIPRANE 100MG SUP BT10
3400930145951;LEVOFREE 0,05% COLLY FL5ML 1
3400932046546;CYTEAL SOL MOUSS FP250ML
3400930240595;RYALTRIS 25MCG/600MCG/DOS F30ML1
3400933397562;KEAL 1G SUSP BUV SACH5ML 30
3400930271209;DIPROSONE 0,05% LOT FL30ML
3400949250318;ZALERG 0,25MG/ML COLLY FL5ML
3400930258637;WEGOVY 0,5MG FLEX INJ STYLO SC 1
3400941945670;ELIQUIS 2,5MG CPR BT60
3400930079782;VAXELIS INJ SRG0,5ML 1 +1AIG
3400931499787;BETADINE 10% SOL LOC FL125ML
3400930024119;SOOLANTRA 10MG/G CR TB30G 1
3400926752682;OPTIDRIL 30MCG/150MCG CPR 28X3
3400930652534;MAXIDROL COLLY FL3ML
3400935887559;SERESTA 10MG CPR BT30
3400930313244;ASARED 75MG CPR BT30
3400930040072;ABASAGLAR 100U STY(1-80U) 3ML5
3400935166906;ENGERIX B 20MCG SRG.BACK.1ML 1
3400932637119;RHINOFLUIMUCIL NAS FL NEB 10ML
3400930322154;OZEMPIC 0,5MG INJ STYLO3ML 1
3400932487813;HAVLANE CPR BT20
3400934429972;TOBRADEX COLLY FL5ML
3400933018023;DEPAKINE CHRONO 500MG CPR TB30
3400932748501;AMYCOR 1% CR LOC TB15G
3400936497931;VOGALENE 5MG SUP SECAB BT10
3400930632192;LUMIRELAX 500MG CPR BT20
3400937071024;RINOCLENIL 100MCG NAS PULV120D.
3614790001054;NEREYA COLLY 0,24% FL10ML
3400932855520;EXACYL 500MG CPR PELLIC BT20
3400932781737;LOXEN 20MG CPR BT30
3400936366848;MONOSEPT COLLY DOS 30
3400932399482;SURGAM 200MG CPR BT15
3400934810176;DOLIPRANE 300MG SUP BT10
3662042003615;BLEPHACLEAN COMP STER PAUP 20
3400932223794;NERISONE CR TB30G
3400934136139;XOLAAM CPR CROQ BT40
3400936918498;DIASEPTYL 0,5% SOL PULV 125ML
3400927956478;DULCILARMES 1,5% COLLY DOS 60
3400930121443;LEVOTHYROX 125MCG CPR BT90 EXC
3400933316778;DAFALGAN CODEINE CPR EFFV TB16
3400930514177;HYDROCORTISONE RSL 10MG CPR 25
3400930270295;SULFARLEM S 25MG CPR BT90
3400933728489;PREXIDINE 0,12% BAIN BCHE200ML
3400932350865;KAYEXALATE PDR BT454G
3400937415187;CARDIOCALM CPR BT80
3400930014066;RESITUNE 100MG CPR FL90
3400930151099;OZEMPIC 0,5MG INJ STYLO1,5ML 1 - RP 3032215
3400930157954;LEVOTHYROX 88MCG CPR BT90
3400932964499;FURADANTINE 50MG GELU BT21
3400934064357;SPAGULAX MUCILAGE PUR GLE S.20
3400935656070;AERIUS 5MG CPR BT30
3400933727369;TERALITHE LP 400MG CPR BT60
3400930305270;DIAMOX 250MG CPR SECAB BT24
3400934424021;TRANSIPEG 5,9G BUV SACH 20
3400930119792;L-THYROXIN HNG 75MCG CPR BT100
3400930512685;HYDREA 500MG GELU BT20
3400930013953;RESITUNE 75MG CPR FL30
3400936874633;TETRAVAC-ACELLULAIRE SRG 1 S/S AIG+1 AIG SEP
3400930095645;SOFTACORT 3,35MG/ML CY DOS 30
3400938322446;AVAMYS 27,5MCG/PULV NAS 120DOS1
3400931714811;VOGALENE 0,1% BUV FL150ML
3400930959695;SERESTA 50MG CPR SECAB BT20
3400934326165;MYDRIATICUM 2MG/0,4ML CY DOS 1
3400935746931;TEMESTA 1MG CPR BT30
3401076312351;IALUSET CR TRAIT ULCERE 100G T
3400933145262;DAKIN CPF STABILISE LOC 250ML
3400934903878;CARBOSYMAG GELU+GELU BT48
3400932473335;BETNEVAL 0,1% CR TB30G
3400933054212;BISEPTINE SOL LOC FP250ML
3400930573259;LAROXYL 40MG/ML BUV FL20ML
3400930151075;OZEMPIC 0,25MG INJ STYLO1,5ML1
3400939020228;ROTARIX BUV TB1,5ML 1
3400938510980;HUMALOG 100UI/ML KWIKPEN 3ML 5
3400930003732;TRULICITY 0,75MG INJ STY0,5ML4
3400933753672;GAVISCON BB BUV SUSP FL150ML
3400932070619;DEPAMIDE 300MG CPR BT30
3400932825653;CUTACNYL 5% GEL LOC TB40G
3400933830885;CALCIDOSE D3 500MG/400U SACH60
3400931994107;COLPOTROPHINE 1% CR TB30G
3400922439716;CILOXADEX 3MG/1MG/ML AURIC 5ML
3400930515587;HYDROCORTANCYL 2,5% INJ FL5ML
3400932285020;GAVISCON BUV SUSP FV250ML
3400936009011;CARTEOL LP 2% COLLY UNIDOS 30
3400928025777;TARDYFERON 50MG CPR BT30
3400933775155;HAVRIX 1440 AD. INJ SRG1ML 1
3400935211422;TIORFAN 30MG ENF PDR SACH 30
3400930119808;L-THYROXIN HNG 100MCG CPR BT100
3400933590499;GLUCAGEN KIT 1MG INJ FL+SRG 1
3400930288849;DELIPROCT SUP BT6
3400932054411;VOGALENE 15MG GELU BT20
3400930573198;LAROXYL 50MG CPR BT20
3400930083161;FIASP FLEXTOUCH 100U/ML STYLO5
3400933277826;KALEORID LP 1000MG CPR BT30
3401321104311;BD A MICROF ULTRA PRO 4MM STYL100 T - RP 03830
3400935527400;NOVORAPID FLEXPEN STYLO3ML 5
3400931395430;DELIPROCT POM RECT TB30G
3400931376330;TERALITHE 250MG CPR BT100
3760054331020;HYLOVIS LIPO EMUL OCUL 15ML T
3400933489045;HEMIGOXINE NAT 0,125MG CPR 30
3400939094908;QLAIRA CPR BT28 X3
3400936366619;OKIMUS CPR BT40
3400933531539;ASPIRINE UPSA 1000MG C.EFFV 20
3400938200348;TIORFANOR 175MG CPR BT12
3400932984312;TEGRETOL LP 400MG CPR BT30
3400931824091;MINIDRIL CPR 21 X3
3400932936984;NATISPRAY 0,15MG BUC FL200DOS
3400933148744;TEGRETOL LP 200MG CPR BT30
3400933563585;NAABAK 4,9% COLLY FL10ML
3400936498990;NICOPASS 1,5MG S/S MENT PAST96
3400936758797;PENTASA 2G GLE SACH 60
8032668873001;HYDRAMED NIGHT SENS POM OPHT5G FR
3400930066249;LEVOTHYROX 175MCG CPR BT30 EXC
3400937701358;TRANXENE 10MG GELU BT30
3400935259097;NOVORAPID 100U/ML INJ FL10ML 1
3400930158074;LEVOTHYROX 112MCG CPR BT90
3400933383084;LOMEXIN 2% CR TB15G
4028694001437;HYLOVIS MULTI GEL OCUL 15ML 1
3400932189465;LOCOID 0,1% LOT FL30ML
3400934125652;DECAPEPTYL LP11,25MG F+A 1+NEC
3400936909915;VIT B1-B6 BAYER CPR BT40
3400930206423;CLOBETASOL SSP 500MCG SHA 125ML
3400936440920;CACIT VIT D3 500 CPR TB60
3400937068291;GELTIM LP 1MG/G GEL OPHT DOS30
3400930250426;QUVIVIQ 50MG CPR BT30
3400927620102;RELVAR ELLIPTA 184/22MCG30DOSX1
3400930014035;RESITUNE 100MG CPR FL30
3400932008056;SINEMET 100MG/10MG CPR BT100
3400930292976;MOUNJARO 15MG INJ STYLO KWIKPEN 1
3400933783488;LOMEXIN 600MG CAPS VAG BT1
3400930192252;AURICULARUM AURIC FL+AMP 1
3400935279897;DYNEXAN 2% PATE GGVL TB10G
3400936789784;EFFIZINC 15MG GELU BT60
